2023-03-30 03:27:55.512502	https://www.encodeproject.org/report/?type=Experiment&assay_title=Histone+ChIP-seq&target.investigated_as=histone&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&replicates.library.biosample.disease_term_name%21=Alzheimer%27s+disease&replicates.library.biosample.disease_term_name%21=mild+cognitive+impairment&replicates.library.biosample.disease_term_name%21=Cognitive+impairment&replicates.library.biosample.disease_term_name%21=basal+cell+carcinoma&replicates.library.biosample.disease_term_name%21=squamous+cell+carcinoma&replicates.library.biosample.disease_term_name%21=nonobstructive+coronary+artery+disease&assembly=GRCh38&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=assay_term_name&field=assay_title&field=biosample_ontology.classification&field=target.%40id&field=target.label&field=target.genes.symbol&field=biosample_summary&field=biosample_ontology.term_name&field=dbxrefs&field=award.project&field=files.%40id&field=replicates.library.biosample.accession&field=replicates.biological_replicate_number&field=replicates.technical_replicate_number&field=replicates.library.biosample.organism.scientific_name&field=replicates.library.biosample.life_stage&field=replicates.%40id&target.label=H3K9me3&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Project	Files	Biosample accession	Biological replicate	Technical replicate	Organism	Life stage	Replicates
/experiments/ENCSR030NGB/	ENCSR030NGB	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens esophagus muscularis mucosa tissue male adult (54 years)	esophagus muscularis mucosa	GEO:GSE142883	ENCODE	/files/ENCFF648NXZ/,/files/ENCFF499EXE/,/files/ENCFF199CBE/,/files/ENCFF720ZJW/,/files/ENCFF571CXJ/,/files/ENCFF408JDU/,/files/ENCFF327HJW/,/files/ENCFF226QLJ/,/files/ENCFF773GRV/,/files/ENCFF918EVQ/,/files/ENCFF380LRK/,/files/ENCFF921EMI/,/files/ENCFF329EEC/,/files/ENCFF923YCS/,/files/ENCFF574WIS/,/files/ENCFF454NIK/,/files/ENCFF213KUF/,/files/ENCFF584ZXA/,/files/ENCFF136IEW/,/files/ENCFF396JIA/,/files/ENCFF714OEP/,/files/ENCFF514TUK/,/files/ENCFF129GIS/,/files/ENCFF836ZGH/,/files/ENCFF140GAT/,/files/ENCFF140OYU/	ENCBS390MKW	1	1	Homo sapiens	adult	/replicates/5863eb91-2496-43dc-b85b-d80bacd34d7d/
/experiments/ENCSR525HKY/	ENCSR525HKY	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens colonic mucosa tissue female adult (41 years)	colonic mucosa	GEO:GSE187564	ENCODE	/files/ENCFF039PCV/,/files/ENCFF448FVI/,/files/ENCFF940VFM/,/files/ENCFF888YCS/,/files/ENCFF949CQH/,/files/ENCFF003UNB/,/files/ENCFF786ZZL/,/files/ENCFF557NLD/,/files/ENCFF661OOO/,/files/ENCFF866NSS/,/files/ENCFF379CCU/,/files/ENCFF564JDP/,/files/ENCFF150MMC/,/files/ENCFF490LCE/	ENCBS312CUX	1	1,2	Homo sapiens	adult	/replicates/b43eabd5-0351-4f92-8f3e-b8a33836cadd/,/replicates/49650c15-69f0-4b17-8387-1500fc2ba06f/
/experiments/ENCSR798MTB/	ENCSR798MTB	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens heart right ventricle tissue male adult (66 years)	heart right ventricle	GEO:GSE188017	ENCODE	/files/ENCFF285WNH/,/files/ENCFF732YSX/,/files/ENCFF788KIV/,/files/ENCFF052XFC/,/files/ENCFF629XPX/,/files/ENCFF321NBR/,/files/ENCFF069HOW/,/files/ENCFF159VAB/,/files/ENCFF874QHC/,/files/ENCFF502BUJ/,/files/ENCFF108HAF/,/files/ENCFF897ZSR/,/files/ENCFF670FWR/,/files/ENCFF994IBK/	ENCBS948AHG	1	2,1	Homo sapiens	adult	/replicates/ad5ee34d-4b5e-4ee0-b3d1-483a97d512b1/,/replicates/cf616bcb-64b6-45f5-b8c5-dffc45d68087/
/experiments/ENCSR309GDX/	ENCSR309GDX	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens heart left ventricle tissue male adult (61 years)	heart left ventricle	GEO:GSE187446	ENCODE	/files/ENCFF736RLS/,/files/ENCFF784YRZ/,/files/ENCFF204DSB/,/files/ENCFF155HNZ/,/files/ENCFF879MLH/,/files/ENCFF035MDE/,/files/ENCFF733NYB/,/files/ENCFF180FOJ/,/files/ENCFF540ZRT/,/files/ENCFF058DZR/,/files/ENCFF464FTD/,/files/ENCFF388JBJ/,/files/ENCFF680NCS/,/files/ENCFF220XRC/,/files/ENCFF130RPR/,/files/ENCFF388EAO/,/files/ENCFF453TCJ/,/files/ENCFF346MWX/	ENCBS700NCU	1	1,2	Homo sapiens	adult	/replicates/122dfe65-aa66-47ec-9512-978c06a6ff22/,/replicates/be4fe398-1346-4d32-b5ce-4170bb383941/
/experiments/ENCSR351RPE/	ENCSR351RPE	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens left ventricle myocardium inferior tissue male adult (60 years)	left ventricle myocardium inferior	GEO:GSE175199	ENCODE	/files/ENCFF430DCH/,/files/ENCFF986NEN/,/files/ENCFF792CIH/,/files/ENCFF399YCT/,/files/ENCFF108FIV/,/files/ENCFF050VJE/,/files/ENCFF668QCY/,/files/ENCFF535KZR/,/files/ENCFF265IOT/,/files/ENCFF797XCB/,/files/ENCFF483FVA/,/files/ENCFF588PGW/,/files/ENCFF644TPU/,/files/ENCFF266YIX/,/files/ENCFF006BOQ/,/files/ENCFF454JJQ/,/files/ENCFF217QNC/,/files/ENCFF855IQX/,/files/ENCFF426BVB/,/files/ENCFF147UVI/,/files/ENCFF827ISA/,/files/ENCFF951MCP/,/files/ENCFF720RLT/,/files/ENCFF488TOV/,/files/ENCFF137RRI/,/files/ENCFF499XRO/,/files/ENCFF901YCK/,/files/ENCFF963TFF/,/files/ENCFF212OAB/,/files/ENCFF482AJW/,/files/ENCFF807SEU/,/files/ENCFF195LLY/,/files/ENCFF255PXW/,/files/ENCFF491CJE/	ENCBS672IKS,ENCBS267RXN	2,1	1,2	Homo sapiens	adult	/replicates/9dfa1be0-039e-42aa-8911-29b54d52160c/,/replicates/5dbdf2f7-4845-4802-950a-0a1dfa7d8580/,/replicates/83936c81-1910-4eef-80ec-32957412f5e1/,/replicates/ba00d7ca-ae08-411c-8652-a278449261e3/
/experiments/ENCSR821VGC/	ENCSR821VGC	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens esophagus muscularis mucosa tissue male adult (37 years)	esophagus muscularis mucosa	GEO:GSE139756	ENCODE	/files/ENCFF104EBF/,/files/ENCFF273TGV/,/files/ENCFF381VTW/,/files/ENCFF246NRL/,/files/ENCFF393XRC/,/files/ENCFF676DNU/,/files/ENCFF672AJT/,/files/ENCFF421AUU/,/files/ENCFF450AVW/,/files/ENCFF461NSH/,/files/ENCFF524WRG/,/files/ENCFF282BRH/,/files/ENCFF501FLV/,/files/ENCFF951QRS/,/files/ENCFF223TQW/,/files/ENCFF564DFC/,/files/ENCFF262XYR/,/files/ENCFF305ZSB/,/files/ENCFF758HZP/,/files/ENCFF037OOM/,/files/ENCFF287JPS/,/files/ENCFF224EOW/,/files/ENCFF964SJB/,/files/ENCFF345WKD/,/files/ENCFF328SJF/,/files/ENCFF704ATT/	ENCBS884JOD	1	1,2	Homo sapiens	adult	/replicates/9d5a5e39-61f2-4622-be83-1bbda1febe52/,/replicates/210ab362-595a-447f-bdcb-27603b6ac85b/
/experiments/ENCSR237GVU/	ENCSR237GVU	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens gastroesophageal sphincter tissue male adult (54 years)	gastroesophageal sphincter	GEO:GSE167761	ENCODE	/files/ENCFF988FXK/,/files/ENCFF890PNO/,/files/ENCFF350IUG/,/files/ENCFF989MOY/,/files/ENCFF946SVB/,/files/ENCFF014RLE/,/files/ENCFF395HTI/,/files/ENCFF149ZQS/,/files/ENCFF724GHS/,/files/ENCFF410DNX/,/files/ENCFF349MXI/,/files/ENCFF496VZE/,/files/ENCFF375IRH/,/files/ENCFF553LGQ/,/files/ENCFF991CXR/,/files/ENCFF878JJN/,/files/ENCFF468MMV/,/files/ENCFF164WZS/,/files/ENCFF115IHW/,/files/ENCFF398GMM/,/files/ENCFF400YMD/,/files/ENCFF357SIN/,/files/ENCFF814IWF/,/files/ENCFF922GEL/,/files/ENCFF212KEL/,/files/ENCFF621DYI/	ENCBS542QYP	1	1,2	Homo sapiens	adult	/replicates/1c42aac4-1e07-4d7c-9db4-6445acea4ce8/,/replicates/5d0d6960-4cb4-489c-8170-f8dcc370ab84/
/experiments/ENCSR368APT/	ENCSR368APT	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens lower lobe of left lung tissue female adult (59 years)	lower lobe of left lung	GEO:GSE187288	ENCODE	/files/ENCFF816GXJ/,/files/ENCFF759WVX/,/files/ENCFF992OHL/,/files/ENCFF141KVB/,/files/ENCFF385BAJ/,/files/ENCFF193GTL/,/files/ENCFF015JTL/,/files/ENCFF299SQG/,/files/ENCFF163SNR/,/files/ENCFF563OLF/,/files/ENCFF117QYF/,/files/ENCFF120RBR/,/files/ENCFF082HMC/,/files/ENCFF180RTK/	ENCBS493HET	1	1,2	Homo sapiens	adult	/replicates/1693070e-9f2b-444a-b550-1a4b8c045672/,/replicates/df953d18-dbfa-4457-bd67-06cd1a91db4e/
/experiments/ENCSR682GOI/	ENCSR682GOI	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens sigmoid colon tissue female adult (53 years)	sigmoid colon	GEO:GSE101254	ENCODE	/files/ENCFF196JYC/,/files/ENCFF498WOY/,/files/ENCFF835FRK/,/files/ENCFF489PRK/,/files/ENCFF971FEL/,/files/ENCFF174HAL/,/files/ENCFF181AQH/,/files/ENCFF069BFP/,/files/ENCFF337JNF/,/files/ENCFF861CYM/,/files/ENCFF437XKH/,/files/ENCFF205QYF/,/files/ENCFF703BFS/,/files/ENCFF354CNQ/,/files/ENCFF144PPI/,/files/ENCFF782WTP/,/files/ENCFF175VLC/,/files/ENCFF952IAZ/,/files/ENCFF859HVN/,/files/ENCFF377PTS/,/files/ENCFF954ZGC/,/files/ENCFF692VWJ/,/files/ENCFF559NDK/,/files/ENCFF992MNG/	ENCBS555KUV	1	1	Homo sapiens	adult	/replicates/8c06e0c6-9df1-4bef-9cd8-fcfc3b31088e/
/experiments/ENCSR759RTY/	ENCSR759RTY	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens upper lobe of left lung tissue female adult (53 years)	upper lobe of left lung	GEO:GSE143078	ENCODE	/files/ENCFF004HYU/,/files/ENCFF340LSA/,/files/ENCFF425SMQ/,/files/ENCFF627MJJ/,/files/ENCFF500OPA/,/files/ENCFF272DAJ/,/files/ENCFF131LXT/,/files/ENCFF140GGV/,/files/ENCFF445PXZ/,/files/ENCFF495NGC/,/files/ENCFF033YZY/,/files/ENCFF076RRH/,/files/ENCFF715UCZ/,/files/ENCFF144AQT/,/files/ENCFF332QCK/,/files/ENCFF297RHN/,/files/ENCFF822HMG/,/files/ENCFF509YGH/,/files/ENCFF637OHE/,/files/ENCFF850QUD/,/files/ENCFF113LCQ/,/files/ENCFF303PQE/,/files/ENCFF813ZSY/,/files/ENCFF775OLD/,/files/ENCFF632XWZ/,/files/ENCFF606VJE/	ENCBS684YJH	1	1	Homo sapiens	adult	/replicates/a930fd2b-89ff-40ac-b5d9-92c755535912/
/experiments/ENCSR101KMF/	ENCSR101KMF	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K9me3-human/	H3K9me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens esophagus squamous epithelium tissue female adult (51 years)	esophagus squamous epithelium	GEO:GSE142905	ENCODE	/files/ENCFF274TAE/,/files/ENCFF986OPB/,/files/ENCFF443OTL/,/files/ENCFF106OYJ/,/files/ENCFF381PDJ/,/files/ENCFF406AYW/,/files/ENCFF175YSW/,/files/ENCFF263LYY/,/files/ENCFF653TYK/,/files/ENCFF416PSH/,/files/ENCFF281BIX/,/files/ENCFF409AQN/,/files/ENCFF345SBH/,/files/ENCFF540NSZ/,/files/ENCFF383MRM/,/files/ENCFF034ERW/,/files/ENCFF300PJM/,/files/ENCFF284YNG/,/files/ENCFF941HKY/,/files/ENCFF811KVI/,/files/ENCFF662RLB/,/files/ENCFF586VIN/,/files/ENCFF172WNY/,/files/ENCFF794WNF/,/files/ENCFF854FHY/,/files/ENCFF757KYK/	ENCBS821VGX	1	2,1	Homo sapiens	adult	/replicates/288c62a2-b2de-47c1-a8cc-63a0a970c4d5/,/replicates/6d989ddb-e076-4804-b788-9d1b54cdc403/
